City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
343,Kavieng,-2.5744,150.7967,84.61,64,98,15.59,PG,overcast clouds
344,Sobolevo,54.4299,31.8996,40.98,78,9,5.28,RU,clear sky
345,Cutlerville,42.8409,-85.6636,83.79,67,75,5.75,US,broken clouds
346,Constitucion,-35.3333,-72.4167,53.87,73,0,9.42,CL,clear sky
347,Bilma,18.6853,12.9164,92.08,23,3,5.68,NE,clear sky
348,Lompoc,34.6391,-120.4579,101.01,59,7,4.0,US,clear sky
349,Durango,24.8333,-104.8333,70.0,69,100,11.27,MX,overcast clouds
350,Paveh,35.0434,46.3565,73.65,15,0,5.32,IR,clear sky
351,Karratha,-20.7377,116.8463,67.26,85,100,3.69,AU,light rain
352,Mount Isa,-20.7333,139.5,56.97,67,100,17.27,AU,overcast clouds
353,Evensk,61.95,159.2333,50.76,98,100,9.17,RU,overcast clouds
354,Sweetwater,25.7634,-80.3731,87.82,73,75,10.36,US,broken clouds
355,Abu Samrah,35.3029,37.1841,83.93,50,15,3.91,SY,few clouds
356,Playa Del Carmen,20.6274,-87.0799,86.02,76,75,9.22,MX,broken clouds
357,Salisbury,51.0693,-1.7957,62.46,87,20,4.61,GB,few clouds
358,Hasaki,35.7333,140.8333,73.8,87,84,13.27,JP,broken clouds
359,Povenets,62.8487,34.8262,43.23,91,28,11.3,RU,scattered clouds
360,Progreso,21.2833,-89.6667,84.31,74,99,8.23,MX,overcast clouds
361,Ukiah,39.1502,-123.2078,104.43,20,0,10.36,US,clear sky
362,Peterhead,57.5058,-1.7981,61.5,87,100,18.99,GB,overcast clouds
363,Tocopilla,-22.092,-70.1979,62.17,74,20,9.86,CL,few clouds
364,Tondano,1.3038,124.9112,69.89,80,96,3.02,ID,overcast clouds
365,Saint Simons,31.1352,-81.3901,84.24,72,75,5.75,US,broken clouds
366,Fukuma,33.7667,130.4667,79.29,86,100,9.42,JP,light rain
367,Jacareacanga,-6.2222,-57.7528,85.89,35,66,3.02,BR,broken clouds
368,Carutapera,-1.195,-46.02,78.91,81,8,9.75,BR,clear sky
369,Victoria,22.2855,114.1577,82.33,68,14,15.01,HK,few clouds
370,Menongue,-14.6585,17.691,55.98,32,2,5.39,AO,clear sky
371,Vardo,70.3705,31.1107,44.58,93,100,19.57,NO,overcast clouds
372,Kismayo,-0.3582,42.5454,74.84,80,17,17.6,SO,few clouds
373,Gimli,50.6336,-96.9907,67.03,44,40,17.65,CA,scattered clouds
374,Bull Savanna,17.8868,-77.5902,77.45,83,100,6.6,JM,overcast clouds
375,Aragarcas,-15.8975,-52.2508,79.3,24,5,4.92,BR,clear sky
376,Lagunas,-5.2269,-75.6753,85.37,53,55,3.74,PE,broken clouds
377,Masallatah,32.6167,14.0,75.97,72,0,7.9,LY,clear sky
378,Cukai,4.25,103.4167,75.78,92,97,3.58,MY,overcast clouds
379,Wang Saphung,17.301,101.7685,74.82,91,100,1.97,TH,moderate rain
380,Kuytun,54.3419,101.5036,42.22,83,100,17.09,RU,overcast clouds
381,Auriflama,-20.6856,-50.5547,77.4,29,0,8.21,BR,clear sky
382,Quelimane,-17.8786,36.8883,66.63,69,100,4.54,MZ,overcast clouds
